"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"1","Volkswagen","Polo","2008","181 000 km","1 390 cm3","Benzyna","80 KM","Auta miejskie","Czarny","15999"
"2","Kia","Ceed","2008","179 000 km","1 582 cm3","Diesel","115 KM","Kombi","Szary","13500"
"3","Toyota","Land Cruiser","2022","2 000 km","2 755 cm3","Diesel","204 KM","SUV","Beżowy","287000"
"4","Fiat","500X","2015","89 024 km","1 368 cm3","Benzyna","140 KM","Auta miejskie","Inny kolor","62730"
"5","Toyota","Prius","2009","289 820 km","1 798 cm3","Hybryda","99 KM","Kompakt","Szary","40500"
"6","Ford","S-Max","2007","345 000 km","1 753 cm3","Diesel","125 KM","Minivan","Srebrny","17600"
"7","Audi","Q7","2014","250 000 km","2 995 cm3","Benzyna","272 KM","SUV","Srebrny","52900"
"8","BMW","Seria 5","2017","191 000 km","1 995 cm3","Diesel","190 KM","Sedan","Granatowy","115000"
"9","Volvo","V50","2008","246 000 km","1 560 cm3","Diesel","110 KM","Kombi","Inny kolor","15900"
"10","Renault","Captur","2015","80 297 km","898 cm3","Benzyna","90 KM","SUV","Czerwony","48000"
"11","Volvo","V70","2010","235 000 km","1 560 cm3","Diesel","109 KM","Kombi","Inny kolor","28600"
"12","Volkswagen","Scirocco","2010","204 000 km","1 390 cm3","Benzyna","160 KM","Kompakt","Biały","34600"
"13","Citroën","C3","2020","10 700 km","1 199 cm3","Benzyna","83 KM","Auta miejskie","Beżowy","54900"
"14","Audi","A6","2006","307 000 km","2 698 cm3","Diesel","180 KM","Sedan","Inny kolor","27500"
"15","Audi","A8","1995","282 000 km","2 800 cm3","Benzyna+LPG","174 KM","Sedan","Bordowy","19900"
"16","Renault","Clio","2015","78 658 km","1 149 cm3","Benzyna","73 KM","Kompakt","Szary","39900"
"17","Volkswagen","Passat","2016","174 047 km","1 598 cm3","Diesel","120 KM","Kombi","Brązowy","60900"
"18","Mercedes-Benz","GLK","2015","168 544 km","1 991 cm3","Benzyna","210 KM","SUV","Biały","84900"
"19","Ford","Mondeo","2016","73 888 km","1 499 cm3","Benzyna","160 KM","Kompakt","Beżowy","56000"
"20","Honda","CR-V","2013","142 891 km","1 597 cm3","Diesel","120 KM","SUV","Biały","59900"
"21","Mitsubishi","Outlander","2013","214 000 km","1 998 cm3","Benzyna","150 KM","SUV","Czarny","66666"
"22","Opel","Corsa","2017","62 692 km","1 398 cm3","Benzyna","90 KM","Auta miejskie","Czarny","42500"
"23","Smart","Forfour","2016","113 000 km","998 cm3","Hybryda","71 KM","Auta małe","Czarny","23900"
"24","Toyota","Yaris","2007","135 761 km","1 298 cm3","Benzyna","87 KM","Auta miejskie","Niebieski","18500"
"25","BMW","Seria 3","2009","180 000 km","1 995 cm3","Benzyna","143 KM","Kombi","Czarny","22000"
"26","Peugeot","Partner","2019","53 500 km","1 560 cm3","Diesel","99 KM","Minivan","Szary","62000"
"27","Volkswagen","Passat","2012","144 550 km","1 798 cm3","Benzyna","160 KM","Kombi","Brązowy","48900"
"28","Suzuki","SX4 S-Cross","2017","39 000 km","998 cm3","Benzyna","111 KM","SUV","Biały","75000"
"29","Toyota","Avensis","2004","253 200 km","1 794 cm3","Benzyna+LPG","129 KM","Sedan","Szary","19500"
"30","Hyundai","i20","2022","4 800 km","1 197 cm3","Benzyna","84 KM","Auta miejskie","Szary","69900"
"31","Fiat","Punto","2004","201 500 km","1 242 cm3","Benzyna","60 KM","Auta miejskie","Niebieski","4500"
"32","Volkswagen","Golf","2002","424 590 km","1 598 cm3","Benzyna+LPG","105 KM","Kompakt","Czerwony","4999"
"33","Volvo","V60","2017","106 533 km","1 969 cm3","Diesel","150 KM","Kombi","Szary","81900"
"34","Renault","Scenic","2015","110 432 km","1 197 cm3","Benzyna","115 KM","Minivan","Brązowy","34900"
"35","Ford","S-Max","2013","151 562 km","1 999 cm3","Benzyna","203 KM","Minivan","Biały","53900"
"36","Alfa Romeo","Tonale","2022","5 km","1 469 cm3","Hybryda","160 KM","SUV","Czarny","186900"
"37","Toyota","Auris","2013","73 500 km","1 329 cm3","Benzyna","99 KM","Kompakt","Biały","37900"
"38","Peugeot","308","2022","2 km","1 199 cm3","Benzyna","110 KM","Kombi","Zielony","101800"
"39","Suzuki","Grand Vitara","2001","242 500 km","2 493 cm3","Benzyna","144 KM","SUV","Czarny","18600"
"40","Dacia","Lodgy","2017","83 000 km","1 598 cm3","Benzyna+LPG","102 KM","Minivan","Szary","49500"
"41","Volkswagen","Passat","2013","297 000 km","1 968 cm3","Diesel","140 KM","Kombi","Szary","43850"
"42","Toyota","Corolla","2018","53 094 km","1 598 cm3","Benzyna","132 KM","Sedan","Czarny","73900"
"43","Hyundai","Tucson","2015","147 981 km","1 685 cm3","Diesel","115 KM","Kombi","Biały","69900"
"44","Dacia","Sandero","2022","8 km","999 cm3","Benzyna+LPG","100 KM","Auta miejskie","Srebrny","68800"
"45","BMW","Seria 5","2009","250 000 km","2 497 cm3","Benzyna","190 KM","Sedan","Granatowy","26900"
"46","Chevrolet","Captiva","2008","120 000 km","2 405 cm3","Benzyna","136 KM","SUV","Czarny","23900"
"47","Volkswagen","Golf Plus","2008","283 714 km","1 896 cm3","Diesel","105 KM","Minivan","Srebrny","18300"
"48","Toyota","C-HR","2018","67 000 km","1 798 cm3","Hybryda","98 KM","SUV","Biały","108900"
"49","Audi","A4","2013","143 000 km","1 968 cm3","Diesel","136 KM","Kombi","Niebieski","48900"
"50","Citroën","C3 Picasso","2011","175 000 km","1 560 cm3","Diesel","112 KM","Minivan","Złoty","21900"
"51","Ford","Fiesta","2009","99 491 km","1 560 cm3","Diesel","90 KM","Auta miejskie","Srebrny","16900"
"52","Opel","Insignia","2019","140 000 km","1 956 cm3","Diesel","170 KM","Kombi","Szary","68000"
"53","BMW","Seria 1","2009","248 737 km","1 995 cm3","Diesel","116 KM","Kompakt","Czarny","19400"
"54","Chrysler","300C","2019","120 000 km","3 600 cm3","Benzyna+LPG","286 KM","Sedan","Czarny","99000"
"55","Citroën","DS4","2012","201 000 km","1 997 cm3","Diesel","163 KM","Kompakt","Czarny","34800"
"56","Volvo","S60","2019","61 625 km","1 969 cm3","Benzyna","190 KM","Sedan","Czarny","149000"
"57","Jeep","Grand Cherokee","2004","285 000 km","2 685 cm3","Diesel","163 KM","SUV","Czarny","24950"
"58","Jeep","Cherokee","1993","240 000 km","3 964 cm3","Benzyna+LPG","184 KM","SUV","Inny kolor","13900"
"59","Audi","A8","2005","337 000 km","4 172 cm3","Benzyna+LPG","334 KM","Sedan","Niebieski","35000"
"60","BMW","Seria 1","2013","109 485 km","1 598 cm3","Benzyna","136 KM","Kompakt","Czarny","39000"
"61","Ford","Focus","2016","52 691 km","1 596 cm3","Benzyna","125 KM","Kompakt","Srebrny","46000"
"62","Nissan","Qashqai","2009","262 957 km","1 598 cm3","Benzyna","114 KM","SUV","Srebrny","26000"
"63","Opel","Corsa","2006","123 602 km","1 229 cm3","Benzyna","80 KM","Kompakt","Złoty","14000"
"64","Ford","S-Max","2008","233 109 km","1 997 cm3","Diesel","130 KM","Minivan","Srebrny","15000"
"65","Ford","S-Max","2011","267 162 km","1 997 cm3","Diesel","140 KM","Minivan","Srebrny","37000"
"66","BMW","Seria 3","2009","171 180 km","1 995 cm3","Benzyna","143 KM","Kombi","Niebieski","29500"
"67","Skoda","Fabia","2012","235 410 km","1 197 cm3","Benzyna","86 KM","Auta miejskie","Srebrny","16900"
"68","Jaguar","XF","2014","83 150 km","1 999 cm3","Benzyna","241 KM","Sedan","Czarny","36900"
"69","Alfa Romeo","159","2008","259 654 km","1 910 cm3","Diesel","120 KM","Kombi","Szary","12999"
"70","Mercedes-Benz","CLS","2006","271 580 km","4 966 cm3","Benzyna","306 KM","Sedan","Czarny","39999"
"71","Opel","Zafira","2013","269 756 km","1 956 cm3","Diesel","130 KM","Minivan","Inny kolor","29900"
"72","Volvo","XC 90","2007","225 860 km","2 401 cm3","Diesel","185 KM","SUV","Czarny","39999"
"73","Audi","A8","2000","318 509 km","4 172 cm3","Benzyna+LPG","334 KM","Sedan","Zielony","29999"
"74","Mitsubishi","Outlander","2015","180 000 km","1 998 cm3","Hybryda","121 KM","SUV","Czarny","102436"
"75","Mercedes-Benz","Klasa E","2005","269 245 km","2 143 cm3","Diesel","136 KM","Sedan","Czarny","22500"
"76","Audi","A4","2004","222 000 km","1 781 cm3","Benzyna","163 KM","Sedan","Granatowy","18900"
"77","MINI","Cooper S","2004","168 000 km","1 598 cm3","Benzyna","170 KM","Auta miejskie","Granatowy","16000"
"78","Opel","Astra","2008","178 080 km","1 364 cm3","Benzyna","90 KM","Coupe","Niebieski","14900"
"79","Ford","EcoSport","2018","65 000 km","1 498 cm3","Diesel","125 KM","SUV","Niebieski","46400"
"80","Volkswagen","Golf","2016","116 500 km","1 984 cm3","Benzyna","300 KM","Sedan","Inny kolor","119999"
"81","Audi","A4","2012","171 000 km","1 968 cm3","Diesel","143 KM","Sedan","Biały","53000"
"82","Audi","A4","1999","131 226 km","1 781 cm3","Benzyna","125 KM","Sedan","Granatowy","10000"
"83","Kia","Ceed","2012","195 000 km","1 582 cm3","Diesel","128 KM","Kompakt","Brązowy","37000"
"84","Honda","Civic","2017","102 000 km","988 cm3","Benzyna","129 KM","Kompakt","Czerwony","71955"
"85","Ford","Kuga","2012","205 816 km","1 997 cm3","Diesel","163 KM","SUV","Srebrny","40700"
"86","Audi","A8","1997","248 500 km","2 800 cm3","Benzyna+LPG","193 KM","Sedan","Zielony","14900"
"87","Volvo","C30","2010","194 000 km","1 560 cm3","Diesel","109 KM","Kompakt","Szary","19900"
"88","Subaru","Forester","2009","350 000 km","1 998 cm3","Diesel","147 KM","SUV","Biały","16000"
"89","Seat","Leon","2007","220 000 km","1 896 cm3","Diesel","105 KM","Kompakt","Czarny","14900"
"90","Kia","Ceed","2010","280 200 km","1 582 cm3","Diesel","116 KM","Kombi","Czarny","19400"
"91","Audi","A6","2007","242 500 km","2 393 cm3","Benzyna+LPG","177 KM","Kombi","Srebrny","32888"
"92","Audi","A3","2009","293 000 km","1 390 cm3","Benzyna","125 KM","Auta małe","Biały","6500"
"93","Mazda","CX-3","2019","31 974 km","1 998 cm3","Benzyna","150 KM","SUV","Biały","75900"
"94","Audi","A4","2015","298 000 km","1 968 cm3","Diesel","190 KM","Kombi","Inny kolor","49999"
"95","Seat","Exeo","2009","225 000 km","1 781 cm3","Benzyna","150 KM","Sedan","Srebrny","26900"
"96","BMW","X2","2018","62 000 km","1 995 cm3","Diesel","190 KM","SUV","Szary","169800"
"97","Audi","A4","2005","181 506 km","3 123 cm3","Benzyna","256 KM","Kombi","Srebrny","26000"
"98","Mazda","6","2010","182 930 km","1 999 cm3","Benzyna","155 KM","Kompakt","Brązowy","31000"
"99","Mazda","CX-5","2012","136 248 km","1 998 cm3","Benzyna","160 KM","SUV","Niebieski","55000"
"100","Toyota","Avensis","2003","276 313 km","1 995 cm3","Diesel","110 KM","Kombi","Beżowy","14500"
"101","Suzuki","Swift","2006","218 114 km","1 490 cm3","Benzyna","102 KM","Kompakt","Czerwony","14000"
"102","Volvo","XC 90","2016","108 000 km","1 969 cm3","Benzyna","320 KM","SUV","Granatowy","144900"
"103","Opel","Meriva","2011","199 000 km","1 686 cm3","Diesel","110 KM","Kompakt","Niebieski","23900"
"104","Saab","9-3","2008","206 000 km","1 796 cm3","Benzyna","122 KM","Sedan","Niebieski","22900"
"105","Mazda","6","2013","179 000 km","2 191 cm3","Diesel","175 KM","Kombi","Czarny","45600"
"106","Nissan","Qashqai","2015","78 000 km","1 598 cm3","Diesel","130 KM","SUV","Inny kolor","60900"
"107","Ford","C-MAX","2011","242 000 km","1 560 cm3","Diesel","116 KM","Minivan","Czarny","27900"
"108","Volvo","XC 60","2010","249 366 km","1 984 cm3","Diesel","163 KM","SUV","Szary","53000"
"109","Renault","Megane","2010","144 000 km","1 598 cm3","Benzyna+LPG","107 KM","Kompakt","Czerwony","23900"
"110","Renault","Megane","2007","179 500 km","1 598 cm3","Benzyna","112 KM","Kombi","Czarny","11600"
"111","Volkswagen","Touareg","2007","196 500 km","2 461 cm3","Diesel","174 KM","SUV","Czarny","34900"
"112","Peugeot","407","2006","219 000 km","1 997 cm3","Diesel","136 KM","Sedan","Bordowy","15900"
"113","MINI","ONE","2005","200 000 km","1 598 cm3","Benzyna","90 KM","Auta miejskie","Srebrny","13200"
"114","Fiat","Qubo","2011","124 000 km","1 248 cm3","Diesel","75 KM","Minivan","Czarny","15900"
"115","Mitsubishi","Colt","2005","154 000 km","1 499 cm3","Benzyna","109 KM","Auta miejskie","Niebieski","14900"
"116","Mazda","5","2010","190 000 km","1 798 cm3","Benzyna+LPG","115 KM","Minivan","Niebieski","29900"
"117","Mazda","Seria B","2004","250 000 km","2 500 cm3","Diesel","109 KM","SUV","Srebrny","35900"
"118","Opel","Meriva","2009","199 500 km","1 598 cm3","Benzyna","105 KM","Kompakt","Srebrny","12900"
"119","Toyota","Auris","2016","175 000 km","1 598 cm3","Diesel","112 KM","Kombi","Biały","49500"
"120","Nissan","Qashqai+2","2010","209 500 km","1 997 cm3","Diesel","150 KM","SUV","Biały","35900"
"121","BMW","Seria 7","2005","245 000 km","4 799 cm3","Benzyna","367 KM","Sedan","Czarny","35900"
"122","Mercedes-Benz","Klasa C","2004","240 000 km","1 796 cm3","Benzyna","143 KM","Sedan","Srebrny","12900"
"123","Renault","Scenic","2004","237 500 km","1 498 cm3","Diesel","82 KM","Minivan","Czerwony","6900"
"124","Opel","Meriva","2011","84 500 km","1 398 cm3","Benzyna","101 KM","Auta miejskie","Czarny","26500"
"125","Mercedes-Benz","Klasa C","2004","150 000 km","3 199 cm3","Benzyna","265 KM","Coupe","Czarny","25900"
"126","Opel","Astra","2011","250 000 km","1 686 cm3","Diesel","110 KM","Kombi","Srebrny","20000"
"127","Hyundai","i20","2014","155 000 km","1 248 cm3","Benzyna","86 KM","Kompakt","Bordowy","31900"
"128","Renault","Koleos","2017","129 000 km","1 995 cm3","Diesel","177 KM","SUV","Szary","99500"
"129","Volkswagen","Passat","2007","229 000 km","1 968 cm3","Diesel","140 KM","Kombi","Srebrny","12600"
"130","Nissan","X-Trail","2008","220 000 km","1 995 cm3","Diesel","150 KM","SUV","Srebrny","31500"
"131","Opel","Vectra","2007","199 000 km","1 910 cm3","Diesel","150 KM","Kombi","Srebrny","14800"
"132","Opel","Corsa","2002","169 000 km","1 199 cm3","Benzyna","75 KM","Auta miejskie","Niebieski","8500"
"133","Audi","Q5","2016","123 000 km","1 968 cm3","Diesel","163 KM","SUV","Szary","97000"
"134","Subaru","Legacy","2008","190 000 km","1 994 cm3","Benzyna+LPG","165 KM","Kombi","Czarny","22500"
"135","Mercedes-Benz","SLK","1999","181 000 km","1 998 cm3","Benzyna","136 KM","Kabriolet","Czarny","15500"
"136","Suzuki","Liana","2003","143 000 km","1 586 cm3","Benzyna","106 KM","Kompakt","Czarny","8700"
"137","Toyota","Auris","2012","143 000 km","1 329 cm3","Benzyna","100 KM","Kompakt","Srebrny","33500"
"138","Renault","Laguna","2007","110 000 km","1 995 cm3","Diesel","150 KM","Kompakt","Srebrny","10500"
"139","Subaru","Tribeca","2006","165 000 km","2 999 cm3","Benzyna+LPG","218 KM","SUV","Srebrny","26900"
"140","Kia","Magentis","2007","199 000 km","1 991 cm3","Diesel","140 KM","Sedan","Niebieski","15900"
"141","Hyundai","i10","2012","164 000 km","1 086 cm3","Benzyna","69 KM","Auta małe","Bordowy","16900"
"142","Audi","A4","1997","228 000 km","2 771 cm3","Benzyna","193 KM","Kombi","Srebrny","13500"
"143","Citroën","C5","2014","220 000 km","1 997 cm3","Diesel","163 KM","Kombi","Czarny","39900"
"144","Daihatsu","Sirion","2005","165 000 km","1 298 cm3","Benzyna","87 KM","Auta miejskie","Niebieski","10500"
"145","Daihatsu","Terios","2010","171 000 km","1 500 cm3","Benzyna","105 KM","SUV","Szary","26300"
"146","Alfa Romeo","Giulietta","2015","176 000 km","1 368 cm3","Benzyna+LPG","120 KM","Kompakt","Czarny","37900"
"147","BMW","Seria 5","2009","103 876 km","2 996 cm3","Benzyna","258 KM","Sedan","Szary","59000"
"148","Renault","Scenic","2013","268 500 km","1 598 cm3","Diesel","130 KM","Minivan","Szary","24900"
"149","Jeep","Liberty","2012","265 000 km","3 700 cm3","Benzyna","212 KM","SUV","Biały","39500"
"150","Audi","A4","2010","280 000 km","2 967 cm3","Diesel","240 KM","Kombi","Czarny","58500"
"151","BMW","Seria 5","2008","81 000 km","2 996 cm3","Benzyna","258 KM","Sedan","Szary","56000"
"152","Toyota","Aygo","2007","251 344 km","998 cm3","Benzyna","68 KM","Auta małe","Czerwony","5900"
"153","Kia","Ceed","2012","150 000 km","1 396 cm3","Diesel","90 KM","Kompakt","Szary","25900"
"154","Audi","A5","2011","208 000 km","2 698 cm3","Diesel","190 KM","Coupe","Niebieski","29900"
"155","Ford","Mustang","2018","12 962 km","5 038 cm3","Benzyna","459 KM","Coupe","Niebieski","129000"
"156","BMW","Seria 3","2007","151 000 km","1 995 cm3","Benzyna","129 KM","Sedan","Srebrny","22900"
"157","Lexus","NX","2017","97 000 km","2 494 cm3","Hybryda","155 KM","SUV","Szary","137000"
"158","Porsche","718 Boxster","2016","28 800 km","1 988 cm3","Benzyna","300 KM","Kabriolet","Biały","230000"
"159","Honda","Civic","1998","289 000 km","1 396 cm3","Benzyna","75 KM","Kompakt","Granatowy","1999"
"160","Mitsubishi","ASX","2012","129 000 km","1 590 cm3","Benzyna","117 KM","SUV","Szary","47500"
"161","Ford","Mustang","2021","1 576 km","5 038 cm3","Benzyna","450 KM","Coupe","Granatowy","219000"
"162","Audi","A4","1998","282 000 km","1 896 cm3","Diesel","90 KM","Sedan","Granatowy","3900"
"163","Honda","Civic","2016","105 000 km","1 798 cm3","Benzyna+LPG","142 KM","Kombi","Biały","68900"
"164","Audi","A3","2022","5 km","1 395 cm3","Hybryda","150 KM","Kompakt","Biały","193152"
"165","Kia","Sportage","2016","60 000 km","1 591 cm3","Benzyna","132 KM","SUV","Złoty","72000"
"166","Audi","S3","2022","7 024 km","1 984 cm3","Benzyna","310 KM","Sedan","Szary","235000"
"167","Skoda","Fabia","2018","43 408 km","999 cm3","Benzyna","95 KM","Kombi","Biały","43000"
"168","BMW","Seria 7","2003","520 000 km","2 993 cm3","Diesel","218 KM","Sedan","Srebrny","11900"
"169","Audi","A1","2022","5 km","1 498 cm3","Benzyna","150 KM","Auta miejskie","Biały","139997"
"170","Audi","A3","2022","5 km","1 968 cm3","Diesel","150 KM","Kompakt","Czerwony","182341"
"171","Fiat","Grande Punto","2006","218 114 km","1 248 cm3","Diesel","90 KM","Auta miejskie","Granatowy","5500"
"172","Volkswagen","Polo","2020","10 600 km","999 cm3","Benzyna","80 KM","Auta miejskie","Szary","76900"
"173","Volvo","V60","2017","112 192 km","1 969 cm3","Diesel","150 KM","Kombi","Srebrny","79900"
"174","Toyota","Prius+","2013","179 508 km","1 798 cm3","Hybryda","100 KM","Minivan","Czarny","67900"
