"id","Marka_pojazdu","Model_pojazdu","Rok_produkcji","Przebieg","Pojemność_skokowa","Rodzaj_paliwa","Moc","Typ_nadwozia","Kolor","Cena"
"390","Citroën","CX","1981","1 230 000 km","2 499 cm3","Benzyna","137 KM","Sedan","Szary","9999"
"391","Mercedes-Benz","CLS","2008","290 000 km","2 987 cm3","Diesel","224 KM","Coupe","Czarny","37900"
"392","Toyota","Yaris","2013","217 202 km","1 364 cm3","Diesel","90 KM","Auta miejskie","Srebrny","25600"
"393","Saab","9-3","2004","269 452 km","1 998 cm3","Benzyna+LPG","175 KM","Sedan","Beżowy","13800"
"394","Mitsubishi","Outlander","2017","48 000 km","1 998 cm3","Benzyna","150 KM","SUV","Czarny","98000"
"395","Chrysler","Town & Country","2015","123 000 km","3 605 cm3","Benzyna","283 KM","Minivan","Granatowy","61500"
"396","Volkswagen","Passat","2016","160 000 km","1 798 cm3","Benzyna","179 KM","Sedan","Biały","77700"
"397","BMW","X5","2019","56 600 km","2 993 cm3","Diesel","265 KM","SUV","Czarny","309000"
"398","Volvo","V50","2006","228 300 km","2 521 cm3","Benzyna","220 KM","Kombi","Niebieski","21900"
"399","Alfa Romeo","Giulia","2022","5 km","2 891 cm3","Benzyna","510 KM","Sedan","Czarny","405000"
"400","Peugeot","508","2011","184 000 km","1 598 cm3","Benzyna","156 KM","Kombi","Granatowy","29500"
"401","Jeep","Grand Cherokee","2008","210 000 km","4 701 cm3","Benzyna+LPG","305 KM","SUV","Srebrny","48000"
"402","Nissan","Juke","2017","47 328 km","1 598 cm3","Benzyna","117 KM","SUV","Żółty","61000"
"403","Skoda","Kodiaq","2022","953 km","1 984 cm3","Benzyna","190 KM","SUV","Szary","204000"
"404","Opel","Astra","2011","117 000 km","1 364 cm3","Benzyna","140 KM","Kombi","Brązowy","33500"
"405","Renault","Scenic","2008","340 000 km","1 461 cm3","Diesel","106 KM","Minivan","Zielony","10000"
"406","BMW","X5","2004","272 120 km","2 993 cm3","Diesel","218 KM","SUV","Czarny","34999"
"407","Skoda","Kodiaq","2017","59 000 km","1 968 cm3","Diesel","150 KM","SUV","Biały","119000"
"408","Audi","A5","2008","268 000 km","2 967 cm3","Diesel","240 KM","Coupe","Czarny","38000"
"409","Seat","Altea XL","2009","200 000 km","1 595 cm3","Benzyna","102 KM","Minivan","Szary","19999"
"410","BMW","Seria 5","2002","318 000 km","2 494 cm3","Benzyna","192 KM","Sedan","Inny kolor","22900"
"411","Mazda","6","2014","178 531 km","1 998 cm3","Benzyna","165 KM","Kombi","Czarny","51000"
"412","Renault","Kadjar","2017","30 885 km","1 197 cm3","Benzyna","130 KM","SUV","Czerwony","62000"
"413","Volkswagen","Polo","2004","147 450 km","1 390 cm3","Benzyna","75 KM","Kompakt","Czerwony","9500"
"414","Skoda","Octavia","2018","153 413 km","1 395 cm3","Benzyna","150 KM","Kompakt","Srebrny","54000"
"415","Volvo","S40","2005","200 000 km","1 798 cm3","Benzyna","125 KM","Sedan","Srebrny","15999"
"416","Subaru","Legacy","2007","367 000 km","1 994 cm3","Benzyna+LPG","150 KM","Kombi","Czarny","16500"
